date&time,temperature (°C),humidity (%),wind_speed (km/h),precipitation
2,87,15,1013,Partly sunny.
2,87,15,1013,Low clouds.
2,87,13,1013,Low clouds.
2,87,6,1013,Low clouds.
2,87,13,1013,Mostly cloudy.
2,87,13,1013,Mostly cloudy.
2,87,13,1013,Mostly cloudy.
2,87,13,1013,Mostly cloudy.
2,87,13,1013,Mostly cloudy.
2,87,15,1013,Overcast.
2,87,13,1013,Overcast.
2,87,11,1014,Overcast.
2,87,11,1013,Overcast.
2,81,15,1013,Passing clouds.
2,81,17,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,15,1013,Overcast.
2,81,17,1013,Overcast.
2,81,17,1013,Overcast.
2,81,15,1013,Overcast.
2,81,19,1013,Passing clouds.
2,81,19,1013,Passing clouds.
2,81,17,1013,Passing clouds.
2,81,20,1013,Overcast.
2,81,20,1012,Overcast.
2,81,19,1013,Overcast.
2,81,20,1013,Passing clouds.
2,81,20,1013,Mostly cloudy.
2,87,15,1013,Light snow. Mostly cloudy.
2,87,13,1013,Mostly cloudy.
2,87,15,1013,Mostly cloudy.
2,87,15,1013,Light snow. More clouds than sun.
2,87,17,1014,Light rain. More clouds than sun.
2,87,15,1014,Light rain. Broken clouds.
2,87,17,1014,Broken clouds.
2,87,17,1014,Light rain. Broken clouds.
3,81,17,1013,Light rain. Partly sunny.
3,81,17,1013,Broken clouds.
3,81,20,1013,Broken clouds.
3,81,19,1013,Broken clouds.
3,81,15,1013,Broken clouds.
3,81,17,1013,Broken clouds.
3,81,19,1013,Broken clouds.
3,81,19,1013,Broken clouds.
3,81,20,1013,Partly sunny.
3,81,17,1013,Broken clouds.
3,81,17,1013,Partly sunny.
3,81,19,1013,Partly cloudy.
3,81,17,1013,Light rain. Partly cloudy.
3,81,17,1013,Partly cloudy.
3,81,19,1013,Light rain. Passing clouds.
3,81,19,1014,Light rain. Partly cloudy.
2,93,17,1014,Light rain. Partly cloudy.
2,93,15,1013,Light rain. Mostly cloudy.
2,93,15,1013,Light rain. Passing clouds.
2,87,19,1013,Light rain. Passing clouds.
2,87,20,1013,Light rain. Partly cloudy.
2,87,20,1014,Light rain. Partly cloudy.
2,87,17,1013,Light rain. Mostly cloudy.
2,87,19,1013,Light rain. Mostly cloudy.
2,87,17,1013,Light rain. Mostly cloudy.
2,87,15,1013,Light rain. Mostly cloudy.
2,87,15,1013,Overcast.
2,87,13,1013,Passing clouds.
2,87,13,1013,Passing clouds.
2,87,17,1013,Light rain. Mostly cloudy.
2,93,17,1013,Light rain. Mostly cloudy.
2,87,13,1013,Light rain. Mostly cloudy.
2,87,17,1013,Light rain. Mostly cloudy.
2,87,17,1013,Light rain. Mostly cloudy.
2,87,17,1013,Light rain. Mostly cloudy.
1,93,11,1012,Light snow. Passing clouds.
2,87,11,1012,Light snow. Passing clouds.
2,87,11,1012,Passing clouds.
2,93,11,1012,Light rain. Passing clouds.
2,93,13,1012,Partly cloudy.
2,87,11,1013,Partly cloudy.
3,81,7,1013,Partly cloudy.
3,81,11,1013,Partly sunny.
3,81,11,1013,Partly sunny.
3,81,13,1013,Light rain. Broken clouds.
3,81,13,1013,Light rain. Broken clouds.
3,87,13,1013,Light rain. Broken clouds.
3,87,11,1013,Light rain. Broken clouds.
3,87,11,1013,Broken clouds.
3,81,13,1013,Light rain. Broken clouds.
4,81,17,1013,Light rain. Broken clouds.
4,75,15,1012,Broken clouds.
4,75,13,1012,Broken clouds.
4,75,11,1012,Broken clouds.
4,75,11,1012,Broken clouds.
4,75,7,1013,Broken clouds.
4,75,6,1013,Broken clouds.
4,75,6,1013,Partly cloudy.
3,87,7,1013,Partly cloudy.
3,87,6,1013,Partly cloudy.
4,75,13,1013,Partly cloudy.
4,75,13,1013,Passing clouds.
3,81,15,1013,Partly cloudy.
3,75,9,1014,Passing clouds.
3,75,9,1014,Passing clouds.
3,75,9,1013,Passing clouds.
3,75,9,1014,Passing clouds.
3,75,11,1013,Passing clouds.
3,75,11,1014,Passing clouds.
3,75,7,1013,Passing clouds.
3,81,9,1013,Passing clouds.
2,87,11,1013,Passing clouds.
3,75,13,1014,Passing clouds.
2,81,11,1014,Passing clouds.
